 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      296  0.2400619E+02  0.21970E-02    2      701    -4    -5     T
      297  0.2400904E+02  0.28561E-02    2      703    -4    -5     T
      298  0.2401276E+02  0.37129E-02    2      705    -4    -5     T
      299  0.2401758E+02  0.48268E-02    2      707    -4    -5     T
      300  0.2402386E+02  0.62749E-02    2      709    -4    -5     T
      301  0.2403201E+02  0.81573E-02    2      711    -4    -5     T
      302  0.2404262E+02  0.10604E-01    2      713    -4    -5     T
      303  0.2405641E+02  0.13786E-01    2      715    -4    -5     T
      304  0.2407433E+02  0.17922E-01    2      717    -4    -5     T
      305  0.2409763E+02  0.23298E-01    2      719    -4    -5     T
      306  0.2412791E+02  0.30287E-01    2      721    -4    -5     T
      307  0.2416729E+02  0.39374E-01    2      723    -4    -5     T
      308  0.2421847E+02  0.51186E-01    2      725    -4    -5     T
      309  0.2428501E+02  0.66542E-01    2      727    -4    -5     T
      310  0.2437439E+02  0.89373E-01    2      729    -4    -5     T
      311  0.2447866E+02  0.10427E+00    2      731    -4    -5     T
      312  0.2460899E+02  0.13034E+00    2      733    -4    -5     T
      313  0.2480450E+02  0.19550E+00    2      735    -4    -5     T
      314  0.2500000E+02  0.19550E+00    2      737    -4    -5     T
      315  0.2500100E+02  0.10000E-02    2      739    -4    -5     T
      316  0.2500230E+02  0.13000E-02    2      741    -4    -5     T
      317  0.2500399E+02  0.16900E-02    2      743    -4    -5     T
      318  0.2500619E+02  0.21970E-02    2      745    -4    -5     T
      319  0.2500904E+02  0.28561E-02    2      747    -4    -5     T
      320  0.2501276E+02  0.37129E-02    2      749    -4    -5     T
      321  0.2501758E+02  0.48268E-02    2      751    -4    -5     T
      322  0.2502386E+02  0.62749E-02    2      753    -4    -5     T
      323  0.2503201E+02  0.81573E-02    2      755    -4    -5     T
      324  0.2504262E+02  0.10604E-01    2      757    -4    -5     T
      325  0.2505641E+02  0.13786E-01    2      759    -4    -5     T
      326  0.2507433E+02  0.17922E-01    2      761    -4    -5     T
      327  0.2509763E+02  0.23298E-01    2      763    -4    -5     T
      328  0.2512791E+02  0.30287E-01    2      765    -4    -5     T
      329  0.2516729E+02  0.39374E-01    2      767    -4    -5     T
      330  0.2521847E+02  0.51186E-01    2      769    -4    -5     T
      331  0.2528501E+02  0.66542E-01    2      771    -4    -5     T
      332  0.2537439E+02  0.89373E-01    2      773    -4    -5     T
      333  0.2547866E+02  0.10427E+00    2      775    -4    -5     T
      334  0.2560899E+02  0.13034E+00    2      777    -4    -5     T
      335  0.2580450E+02  0.19550E+00    2      779    -4    -5     T
      336  0.2600000E+02  0.19550E+00    2      781    -4    -5     T
      337  0.2625000E+02  0.25000E+00    2      783    -4    -5     T
      338  0.2662500E+02  0.37500E+00    2      785    -4    -5     T
      339  0.2700000E+02  0.37500E+00    2      787    -4    -5     T
      340  0.2750000E+02  0.50000E+00    2      789    -4    -5     T
      341  0.2800000E+02  0.50000E+00    2      791    -4    -5     T
      342  0.2800100E+02  0.10000E-02    2      793    -4    -5     T
      343  0.2800230E+02  0.13000E-02    2      795    -4    -5     T
      344  0.2800399E+02  0.16900E-02    2      797    -4    -5     T
      345  0.2800619E+02  0.21970E-02    2      799    -4    -5     T
      346  0.2800904E+02  0.28561E-02    2      801    -4    -5     T
      347  0.2801276E+02  0.37129E-02    2      803    -4    -5     T
      348  0.2801758E+02  0.48268E-02    2      805    -4    -5     T
      349  0.2802386E+02  0.62749E-02    2      807    -4    -5     T
      350  0.2803201E+02  0.81573E-02    2      809    -4    -5     T
      351  0.2804262E+02  0.10604E-01    2      811    -4    -5     T
      352  0.2805641E+02  0.13786E-01    2      813    -4    -5     T
      353  0.2807433E+02  0.17922E-01    2      815    -4    -5     T
      354  0.2809763E+02  0.23298E-01    2      817    -4    -5     T
      355  0.2812791E+02  0.30287E-01    2      819    -4    -5     T
      356  0.2816729E+02  0.39374E-01    2      821    -4    -5     T
      357  0.2821847E+02  0.51186E-01    2      823    -4    -5     T
      358  0.2828501E+02  0.66542E-01    2      825    -4    -5     T
      359  0.2837439E+02  0.89373E-01    2      827    -4    -5     T
      360  0.2847866E+02  0.10427E+00    2      829    -4    -5     T
      361  0.2860899E+02  0.13034E+00    2      831    -4    -5     T
      362  0.2880450E+02  0.19550E+00    2      833    -4    -5     T
      363  0.2900000E+02  0.19550E+00    2      835    -4    -5     T
      364  0.2900100E+02  0.10000E-02    2      837    -4    -5     T
      365  0.2900230E+02  0.13000E-02    2      839    -4    -5     T
      366  0.2900399E+02  0.16900E-02    2      841    -4    -5     T
      367  0.2900619E+02  0.21970E-02    2      843    -4    -5     T
      368  0.2900904E+02  0.28561E-02    2      845    -4    -5     T
      369  0.2901276E+02  0.37129E-02    2      847    -4    -5     T
      370  0.2901758E+02  0.48268E-02    2      849    -4    -5     T
      371  0.2902386E+02  0.62749E-02    2      851    -4    -5     T
      372  0.2903201E+02  0.81573E-02    2      853    -4    -5     T
      373  0.2904262E+02  0.10604E-01    2      855    -4    -5     T
      374  0.2905641E+02  0.13786E-01    2      857    -4    -5     T
      375  0.2907433E+02  0.17922E-01    2      859    -4    -5     T
      376  0.2909763E+02  0.23298E-01    2      861    -4    -5     T
      377  0.2912791E+02  0.30287E-01    2      863    -4    -5     T
      378  0.2916729E+02  0.39374E-01    2      865    -4    -5     T
      379  0.2921847E+02  0.51186E-01    2      867    -4    -5     T
      380  0.2928501E+02  0.66542E-01    2      869    -4    -5     T
      381  0.2937439E+02  0.89373E-01    2      871    -4    -5     T
      382  0.2947866E+02  0.10427E+00    2      873    -4    -5     T
      383  0.2960899E+02  0.13034E+00    2      875    -4    -5     T
      384  0.2980450E+02  0.19550E+00    2      877    -4    -5     T
      385  0.3000000E+02  0.19550E+00    2      879    -4    -5     T
      386  0.3000100E+02  0.10000E-02    2      881    -4    -5     T
      387  0.3000230E+02  0.13000E-02    2      883    -4    -5     T
      388  0.3000399E+02  0.16900E-02    2      885    -4    -5     T
      389  0.3000619E+02  0.21970E-02    2      887    -4    -5     T
      390  0.3000904E+02  0.28561E-02    2      889    -4    -5     T
      391  0.3001276E+02  0.37129E-02    2      891    -4    -5     T
      392  0.3001758E+02  0.48268E-02    2      893    -4    -5     T
      393  0.3002386E+02  0.62749E-02    2      895    -4    -5     T
      394  0.3003201E+02  0.81573E-02    2      897    -4    -5     T
      395  0.3004262E+02  0.10604E-01    2      899    -4    -5     T
      396  0.3005641E+02  0.13786E-01    2      901    -4    -5     T
      397  0.3007433E+02  0.17922E-01    2      903    -4    -5     T
      398  0.3009763E+02  0.23298E-01    2      905    -4    -5     T
      399  0.3012791E+02  0.30287E-01    3      908    -4    -5     T
      400  0.3016729E+02  0.39374E-01    3      911    -4    -5     T
      401  0.3021847E+02  0.51186E-01    3      914    -4    -5     T
      402  0.3028501E+02  0.66542E-01    4      918    -4    -5     T
      403  0.3035156E+02  0.66542E-01    3      921    -4    -5     T
      404  0.3044419E+02  0.92635E-01    4      925    -4    -5     T
      405  0.3053683E+02  0.92635E-01    3      928    -4    -5     T
      406  0.3065262E+02  0.11579E+00    4      932    -4    -5     T
      407  0.3076841E+02  0.11579E+00    3      935    -4    -5     T
      408  0.3088421E+02  0.11579E+00    3      938    -4    -5     T
      409  0.3100000E+02  0.11579E+00    3      941    -4    -5     T
      410  0.3100100E+02  0.10000E-02    2      943    -4    -5     T
      411  0.3100230E+02  0.13000E-02    2      945    -4    -5     T
      412  0.3100399E+02  0.16900E-02    2      947    -4    -5     T
      413  0.3100619E+02  0.21970E-02    2      949    -4    -5     T
      414  0.3100904E+02  0.28561E-02    2      951    -4    -5     T
      415  0.3101276E+02  0.37129E-02    2      953    -4    -5     T
      416  0.3101758E+02  0.48268E-02    2      955    -4    -5     T
      417  0.3102386E+02  0.62749E-02    2      957    -4    -5     T
      418  0.3103201E+02  0.81573E-02    2      959    -4    -5     T
      419  0.3104262E+02  0.10604E-01    2      961    -4    -5     T
      420  0.3105641E+02  0.13786E-01    2      963    -4    -5     T
      421  0.3107433E+02  0.17922E-01    2      965    -4    -5     T
      422  0.3109763E+02  0.23298E-01    2      967    -4    -5     T
      423  0.3112791E+02  0.30287E-01    2      969    -4    -5     T
