 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 



                               Node( 91)

         time         h        theta    Temp   
         22.0426      -30.84  0.3444   20.000
         22.0564      -30.74  0.3446   20.000
         22.0743      -30.61  0.3450   20.000
         22.0976      -30.45  0.3453   20.000
         22.1279      -30.26  0.3458   20.000
         22.1673      -30.03  0.3464   20.000
         22.2185      -29.78  0.3470   20.000
         22.2850      -29.54  0.3477   20.000
         22.3744      -29.30  0.3484   20.000
         22.4787      -29.15  0.3488   20.000
         22.6090      -29.10  0.3489   20.000
         22.8045      -29.17  0.3487   20.000
         23.0000      -29.30  0.3484   20.000
         23.2500      -29.41  0.3481   20.000
         23.5000      -29.38  0.3482   20.000
         23.7500      -29.20  0.3486   20.000
         24.0000      -28.92  0.3494   20.000
         24.0010      -28.93  0.3494   20.000
         24.0023      -28.92  0.3494   20.000
         24.0040      -28.92  0.3494   20.000
         24.0062      -28.92  0.3494   20.000
         24.0090      -28.92  0.3495   20.000
         24.0128      -28.91  0.3495   20.000
         24.0176      -28.91  0.3495   20.000
         24.0239      -28.90  0.3495   20.000
         24.0320      -28.89  0.3495   20.000
         24.0426      -28.88  0.3496   20.000
         24.0564      -28.86  0.3496   20.000
         24.0743      -28.84  0.3497   20.000
         24.0976      -28.81  0.3498   20.000
         24.1279      -28.77  0.3499   20.000
         24.1673      -28.72  0.3500   20.000
         24.2185      -28.64  0.3502   20.000
         24.2850      -28.55  0.3505   20.000
         24.3744      -28.41  0.3509   20.000
         24.4787      -28.26  0.3513   20.000
         24.6090      -28.10  0.3518   20.000
         24.8045      -27.99  0.3521   20.000
         25.0000      -28.02  0.3520   20.000
         25.0010      -28.01  0.3520   20.000
         25.0023      -28.01  0.3520   20.000
         25.0040      -28.01  0.3520   20.000
         25.0062      -28.01  0.3520   20.000
         25.0090      -28.01  0.3520   20.000
         25.0128      -28.01  0.3520   20.000
         25.0176      -28.01  0.3520   20.000
         25.0239      -28.01  0.3520   20.000
         25.0320      -28.01  0.3520   20.000
         25.0426      -28.02  0.3520   20.000
         25.0564      -28.02  0.3520   20.000
         25.0743      -28.03  0.3520   20.000
         25.0976      -28.04  0.3519   20.000
         25.1279      -28.06  0.3519   20.000
         25.1673      -28.09  0.3518   20.000
         25.2185      -28.14  0.3517   20.000
         25.2850      -28.22  0.3514   20.000
         25.3744      -28.35  0.3511   20.000
         25.4787      -28.52  0.3506   20.000
         25.6090      -28.78  0.3499   20.000
         25.8045      -29.20  0.3487   20.000
         26.0000      -29.63  0.3475   20.000
         26.2500      -30.24  0.3459   20.000
         26.6250      -31.26  0.3434   20.000
         27.0000      -32.33  0.3407   20.000
         27.5000      -33.77  0.3372   20.000
         28.0000      -35.16  0.3337   20.000
         28.0010      -35.16  0.3337   20.000
         28.0023      -35.17  0.3337   20.000
         28.0040      -35.17  0.3337   20.000
         28.0062      -35.18  0.3337   20.000
