

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   107.00000 -0.243560E+02  0.000000E+00 -0.243560E+02  0.000000E+00 -0.228906E+02    -64.655      0.000    -75.405     107
   108.00000 -0.250870E+02  0.000000E+00 -0.250870E+02  0.000000E+00 -0.229697E+02    -44.120      0.000    -76.222     108
   109.00000 -0.252000E+02  0.000000E+00 -0.252000E+02  0.000000E+00 -0.230469E+02    -61.502      0.000    -77.044     109
   110.00000 -0.251640E+02  0.000000E+00 -0.251640E+02  0.000000E+00 -0.231224E+02    -77.093      0.000    -77.831     110
   111.00000 -0.251260E+02  0.000000E+00 -0.251260E+02  0.000000E+00 -0.231963E+02    -85.524      0.000    -78.466     111
   112.00000 -0.250610E+02  0.000000E+00 -0.250610E+02  0.000000E+00 -0.232693E+02    -96.340      0.000    -78.871     112
   113.00000 -0.252080E+02  0.000000E+00 -0.252080E+02  0.000000E+00 -0.233419E+02    -74.565      0.000    -79.077     113
   114.00000 -0.256280E+02  0.000000E+00 -0.256280E+02  0.000000E+00 -0.234143E+02    -54.523      0.000    -79.058     114
   115.00000 -0.266370E+02  0.000000E+00 -0.266370E+02  0.000000E+00 -0.234870E+02    -35.136      0.000    -78.911     115
   116.00000 -0.268320E+02  0.000000E+00 -0.268320E+02  0.000000E+00 -0.235599E+02    -50.489      0.000    -78.709     116
   117.00000 -0.270050E+02  0.000000E+00 -0.270050E+02  0.000000E+00 -0.236336E+02    -54.399      0.000    -78.302     117
   118.00000 -0.272030E+02  0.000000E+00 -0.272030E+02  0.000000E+00 -0.237091E+02    -54.943      0.000    -77.231     118
   119.00000 -0.272730E+02  0.000000E+00 -0.272730E+02  0.000000E+00 -0.237871E+02    -62.180      0.000    -75.553     119
   120.00000 -0.277780E+02  0.000000E+00 -0.277780E+02  0.000000E+00 -0.238727E+02    -45.350      0.000    -73.398     120
   121.00000 -0.277010E+02  0.000000E+00 -0.277010E+02  0.000000E+00 -0.239706E+02    -68.525      0.000    -70.940     121
   122.00000 -0.276360E+02  0.000000E+00 -0.276360E+02  0.000000E+00 -0.240816E+02    -77.375      0.000    -68.646     122
   123.00000 -0.275790E+02  0.000000E+00 -0.275790E+02  0.000000E+00 -0.242027E+02    -84.111      0.000    -66.667     123
   124.00000 -0.275410E+02  0.000000E+00 -0.275410E+02  0.000000E+00 -0.243332E+02    -87.527      0.000    -65.310     124
   125.00000 -0.275020E+02  0.000000E+00 -0.275020E+02  0.000000E+00 -0.244679E+02    -92.044      0.000    -64.433     125
   126.00000 -0.274380E+02  0.000000E+00 -0.274380E+02  0.000000E+00 -0.246042E+02   -100.420      0.000    -63.980     126
   127.00000 -0.274120E+02  0.000000E+00 -0.274120E+02  0.000000E+00 -0.247407E+02    -99.992      0.000    -63.933     127
   128.00000 -0.273810E+02  0.000000E+00 -0.273810E+02  0.000000E+00 -0.248763E+02   -103.292      0.000    -64.209     128
   129.00000 -0.273330E+02  0.000000E+00 -0.273330E+02  0.000000E+00 -0.250094E+02   -109.959      0.000    -64.684     129
   130.00000 -0.272480E+02  0.000000E+00 -0.272480E+02  0.000000E+00 -0.251391E+02   -125.330      0.000    -65.326     130
   131.00000 -0.271730E+02  0.000000E+00 -0.271730E+02  0.000000E+00 -0.252650E+02   -134.193      0.000    -66.113     131
   132.00000 -0.270570E+02  0.000000E+00 -0.270570E+02  0.000000E+00 -0.253867E+02   -165.661      0.000    -66.995     132
   133.00000 -0.268930E+02  0.000000E+00 -0.268930E+02  0.000000E+00 -0.255037E+02   -265.771      0.000    -67.951     133
   134.00000 -0.269530E+02  0.000000E+00 -0.269530E+02  0.000000E+00 -0.256180E+02   -126.845      0.000    -68.938     134
   135.00000 -0.268050E+02  0.000000E+00 -0.268050E+02  0.000000E+00 -0.257270E+02   -241.566      0.000    -69.974     135
   136.00000 -0.267020E+02  0.000000E+00 -0.267020E+02  0.000000E+00 -0.258302E+02   -268.291      0.000    -71.042     136
   137.00000 -0.266510E+02  0.000000E+00 -0.266510E+02  0.000000E+00 -0.259281E+02   -223.387      0.000    -72.124     137
   138.00000 -0.269220E+02  0.000000E+00 -0.269220E+02  0.000000E+00 -0.260217E+02    -88.964      0.000    -73.208     138
   139.00000 -0.268040E+02  0.000000E+00 -0.268040E+02  0.000000E+00 -0.261097E+02   -161.786      0.000    -74.285     139
   140.00000 -0.266610E+02  0.000000E+00 -0.266610E+02  0.000000E+00 -0.261919E+02   -257.601      0.000    -75.337     140
   141.00000 -0.265780E+02  0.000000E+00 -0.265780E+02  0.000000E+00 -0.262701E+02   -255.308      0.000    -76.524     141
   142.00000 -0.265170E+02  0.000000E+00 -0.265170E+02  0.000000E+00 -0.263453E+02   -249.477      0.000    -77.707     142
   143.00000 -0.267890E+02  0.000000E+00 -0.267890E+02  0.000000E+00 -0.264192E+02    -91.366      0.000    -78.876     143
   144.00000 -0.269250E+02  0.000000E+00 -0.269250E+02  0.000000E+00 -0.264907E+02    -92.312      0.000    -80.024     144
   145.00000 -0.283640E+02  0.000000E+00 -0.283640E+02  0.000000E+00 -0.265600E+02    -32.627      0.000    -81.155     145
   146.00000 -0.291660E+02  0.000000E+00 -0.291660E+02  0.000000E+00 -0.266269E+02    -36.536      0.000    -82.268     146
   147.00000 -0.291870E+02  0.000000E+00 -0.291870E+02  0.000000E+00 -0.266916E+02    -58.306      0.000    -83.356     147
   148.00000 -0.297140E+02  0.000000E+00 -0.297140E+02  0.000000E+00 -0.267542E+02    -43.654      0.000    -84.346     148
   149.00000 -0.296020E+02  0.000000E+00 -0.296020E+02  0.000000E+00 -0.268151E+02    -69.557      0.000    -84.890     149
   150.00000 -0.295430E+02  0.000000E+00 -0.295430E+02  0.000000E+00 -0.268763E+02    -76.863      0.000    -84.407     150
   151.00000 -0.295060E+02  0.000000E+00 -0.295060E+02  0.000000E+00 -0.269400E+02    -81.874      0.000    -82.956     151
   152.00000 -0.293590E+02  0.000000E+00 -0.293590E+02  0.000000E+00 -0.270089E+02   -104.363      0.000    -80.837     152
   153.00000 -0.292830E+02  0.000000E+00 -0.292830E+02  0.000000E+00 -0.270822E+02   -106.908      0.000    -78.625     153
   154.00000 -0.300170E+02  0.000000E+00 -0.300170E+02  0.000000E+00 -0.271581E+02    -45.218      0.000    -76.482     154
   155.00000 -0.311700E+02  0.000000E+00 -0.311700E+02  0.000000E+00 -0.272386E+02    -32.031      0.000    -74.845     155
   156.00000 -0.314750E+02  0.000000E+00 -0.314750E+02  0.000000E+00 -0.273253E+02    -44.926      0.000    -73.664     156
   157.00000 -0.313930E+02  0.000000E+00 -0.313930E+02  0.000000E+00 -0.274178E+02    -64.151      0.000    -72.494     157
   158.00000 -0.318760E+02  0.000000E+00 -0.318760E+02  0.000000E+00 -0.275175E+02    -44.864      0.000    -70.584     158
   159.00000 -0.325430E+02  0.000000E+00 -0.325430E+02  0.000000E+00 -0.276291E+02    -38.410      0.000    -67.785     159
   160.00000 -0.325760E+02  0.000000E+00 -0.325760E+02  0.000000E+00 -0.277554E+02    -55.830      0.000    -64.681     160
   161.00000 -0.324420E+02  0.000000E+00 -0.324420E+02  0.000000E+00 -0.278994E+02    -73.730      0.000    -61.305     161
   162.00000 -0.327850E+02  0.000000E+00 -0.327850E+02  0.000000E+00 -0.280616E+02    -51.814      0.000    -58.305     162
   163.00000 -0.326630E+02  0.000000E+00 -0.326630E+02  0.000000E+00 -0.282508E+02    -76.397      0.000    -56.353     163
   164.00000 -0.328320E+02  0.000000E+00 -0.328320E+02  0.000000E+00 -0.284546E+02    -61.775      0.000    -55.318     164
end
