 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          3.9560        0.00  0.3500   20.000  0.1795E-08          0.00  0.3500   20.000  0.9508E-07          0.00  0.3500   20.000  0.1374E-05          0.00  0.3500   20.000  0.1451E-06          0.00  0.3500   20.000  0.8777E-08
          4.0294        0.00  0.3500   20.000  0.1512E-08          0.00  0.3500   20.000  0.8261E-07          0.00  0.3500   20.000  0.1318E-05          0.00  0.3500   20.000  0.1748E-06          0.00  0.3500   20.000  0.1195E-07
          4.1028        0.00  0.3500   20.000  0.1274E-08          0.00  0.3500   20.000  0.7171E-07          0.00  0.3500   20.000  0.1260E-05          0.00  0.3500   20.000  0.2083E-06          0.00  0.3500   20.000  0.1603E-07
          4.1762        0.00  0.3500   20.000  0.1074E-08          0.00  0.3500   20.000  0.6220E-07          0.00  0.3500   20.000  0.1199E-05          0.00  0.3500   20.000  0.2453E-06          0.00  0.3500   20.000  0.2119E-07
          4.2496        0.00  0.3500   20.000  0.9050E-09          0.00  0.3500   20.000  0.5391E-07          0.00  0.3500   20.000  0.1136E-05          0.00  0.3500   20.000  0.2859E-06          0.00  0.3500   20.000  0.2762E-07
          4.3230        0.00  0.3500   20.000  0.7631E-09          0.00  0.3500   20.000  0.4669E-07          0.00  0.3500   20.000  0.1073E-05          0.00  0.3500   20.000  0.3298E-06          0.00  0.3500   20.000  0.3553E-07
          4.3964        0.00  0.3500   20.000  0.6435E-09          0.00  0.3500   20.000  0.4041E-07          0.00  0.3500   20.000  0.1010E-05          0.00  0.3500   20.000  0.3768E-06          0.00  0.3500   20.000  0.4513E-07
          4.4698        0.00  0.3500   20.000  0.5428E-09          0.00  0.3500   20.000  0.3496E-07          0.00  0.3500   20.000  0.9474E-06          0.00  0.3500   20.000  0.4264E-06          0.00  0.3500   20.000  0.5662E-07
          4.5432        0.00  0.3500   20.000  0.4579E-09          0.00  0.3500   20.000  0.3022E-07          0.00  0.3500   20.000  0.8858E-06          0.00  0.3500   20.000  0.4784E-06          0.00  0.3500   20.000  0.7022E-07
          4.6166        0.00  0.3500   20.000  0.3864E-09          0.00  0.3500   20.000  0.2611E-07          0.00  0.3500   20.000  0.8258E-06          0.00  0.3500   20.000  0.5322E-06          0.00  0.3500   20.000  0.8610E-07
          4.6900        0.00  0.3500   20.000  0.3261E-09          0.00  0.3500   20.000  0.2255E-07          0.00  0.3500   20.000  0.7676E-06          0.00  0.3500   20.000  0.5872E-06          0.00  0.3500   20.000  0.1044E-06
          4.7634        0.00  0.3500   20.000  0.2753E-09          0.00  0.3500   20.000  0.1946E-07          0.00  0.3500   20.000  0.7116E-06          0.00  0.3500   20.000  0.6430E-06          0.00  0.3500   20.000  0.1254E-06
          4.8368        0.00  0.3500   20.000  0.2324E-09          0.00  0.3500   20.000  0.1679E-07          0.00  0.3500   20.000  0.6579E-06          0.00  0.3500   20.000  0.6988E-06          0.00  0.3500   20.000  0.1490E-06
          4.9102        0.00  0.3500   20.000  0.1963E-09          0.00  0.3500   20.000  0.1448E-07          0.00  0.3500   20.000  0.6068E-06          0.00  0.3500   20.000  0.7541E-06          0.00  0.3500   20.000  0.1755E-06
          4.9836        0.00  0.3500   20.000  0.1658E-09          0.00  0.3500   20.000  0.1248E-07          0.00  0.3500   20.000  0.5583E-06          0.00  0.3500   20.000  0.8083E-06          0.00  0.3500   20.000  0.2047E-06
          5.0570        0.00  0.3500   20.000  0.1401E-09          0.00  0.3500   20.000  0.1075E-07          0.00  0.3500   20.000  0.5126E-06          0.00  0.3500   20.000  0.8607E-06          0.00  0.3500   20.000  0.2368E-06
