

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    97.00000 -0.240840E+02  0.000000E+00 -0.240840E+02  0.000000E+00 -0.219388E+02    -95.830      0.000    -68.706      97
    98.00000 -0.240840E+02  0.000000E+00 -0.240840E+02  0.000000E+00 -0.220490E+02    -96.962      0.000    -69.352      98
    99.00000 -0.240770E+02  0.000000E+00 -0.240770E+02  0.000000E+00 -0.221560E+02    -99.773      0.000    -69.990      99
   100.00000 -0.240690E+02  0.000000E+00 -0.240690E+02  0.000000E+00 -0.222599E+02   -101.985      0.000    -70.634     100
   101.00000 -0.240350E+02  0.000000E+00 -0.240350E+02  0.000000E+00 -0.223606E+02   -109.407      0.000    -71.291     101
   102.00000 -0.240210E+02  0.000000E+00 -0.240210E+02  0.000000E+00 -0.224580E+02   -109.455      0.000    -71.969     102
   103.00000 -0.239870E+02  0.000000E+00 -0.239870E+02  0.000000E+00 -0.225520E+02   -116.234      0.000    -72.657     103
   104.00000 -0.239730E+02  0.000000E+00 -0.239730E+02  0.000000E+00 -0.226425E+02   -115.310      0.000    -73.359     104
   105.00000 -0.239720E+02  0.000000E+00 -0.239720E+02  0.000000E+00 -0.227297E+02   -113.862      0.000    -74.062     105
   106.00000 -0.239690E+02  0.000000E+00 -0.239690E+02  0.000000E+00 -0.228134E+02   -114.413      0.000    -74.764     106
   107.00000 -0.243560E+02  0.000000E+00 -0.243560E+02  0.000000E+00 -0.228951E+02    -64.671      0.000    -75.472     107
   108.00000 -0.250870E+02  0.000000E+00 -0.250870E+02  0.000000E+00 -0.229740E+02    -44.125      0.000    -76.293     108
   109.00000 -0.252000E+02  0.000000E+00 -0.252000E+02  0.000000E+00 -0.230511E+02    -61.511      0.000    -77.110     109
   110.00000 -0.251640E+02  0.000000E+00 -0.251640E+02  0.000000E+00 -0.231265E+02    -77.107      0.000    -77.894     110
   111.00000 -0.251260E+02  0.000000E+00 -0.251260E+02  0.000000E+00 -0.232003E+02    -85.539      0.000    -78.528     111
   112.00000 -0.250610E+02  0.000000E+00 -0.250610E+02  0.000000E+00 -0.232732E+02    -96.361      0.000    -78.932     112
   113.00000 -0.252080E+02  0.000000E+00 -0.252080E+02  0.000000E+00 -0.233456E+02    -74.570      0.000    -79.137     113
   114.00000 -0.256280E+02  0.000000E+00 -0.256280E+02  0.000000E+00 -0.234179E+02    -54.529      0.000    -79.118     114
   115.00000 -0.266370E+02  0.000000E+00 -0.266370E+02  0.000000E+00 -0.234904E+02    -35.135      0.000    -78.969     115
   116.00000 -0.268320E+02  0.000000E+00 -0.268320E+02  0.000000E+00 -0.235633E+02    -50.493      0.000    -78.766     116
   117.00000 -0.270050E+02  0.000000E+00 -0.270050E+02  0.000000E+00 -0.236368E+02    -54.402      0.000    -78.358     117
   118.00000 -0.272030E+02  0.000000E+00 -0.272030E+02  0.000000E+00 -0.237122E+02    -54.946      0.000    -77.289     118
   119.00000 -0.272730E+02  0.000000E+00 -0.272730E+02  0.000000E+00 -0.237901E+02    -62.184      0.000    -75.598     119
   120.00000 -0.277780E+02  0.000000E+00 -0.277780E+02  0.000000E+00 -0.238754E+02    -45.349      0.000    -73.447     120
   121.00000 -0.277010E+02  0.000000E+00 -0.277010E+02  0.000000E+00 -0.239731E+02    -68.531      0.000    -70.985     121
   122.00000 -0.276360E+02  0.000000E+00 -0.276360E+02  0.000000E+00 -0.240838E+02    -77.382      0.000    -68.687     122
   123.00000 -0.275790E+02  0.000000E+00 -0.275790E+02  0.000000E+00 -0.242048E+02    -84.115      0.000    -66.704     123
   124.00000 -0.275410E+02  0.000000E+00 -0.275410E+02  0.000000E+00 -0.243352E+02    -87.534      0.000    -65.343     124
   125.00000 -0.275020E+02  0.000000E+00 -0.275020E+02  0.000000E+00 -0.244697E+02    -92.051      0.000    -64.462     125
   126.00000 -0.274380E+02  0.000000E+00 -0.274380E+02  0.000000E+00 -0.246059E+02   -100.432      0.000    -64.006     126
   127.00000 -0.274120E+02  0.000000E+00 -0.274120E+02  0.000000E+00 -0.247423E+02    -99.995      0.000    -63.957     127
   128.00000 -0.273810E+02  0.000000E+00 -0.273810E+02  0.000000E+00 -0.248777E+02   -103.301      0.000    -64.230     128
   129.00000 -0.273330E+02  0.000000E+00 -0.273330E+02  0.000000E+00 -0.250107E+02   -109.974      0.000    -64.703     129
   130.00000 -0.272480E+02  0.000000E+00 -0.272480E+02  0.000000E+00 -0.251404E+02   -125.372      0.000    -65.344     130
   131.00000 -0.271730E+02  0.000000E+00 -0.271730E+02  0.000000E+00 -0.252662E+02   -134.239      0.000    -66.129     131
   132.00000 -0.270570E+02  0.000000E+00 -0.270570E+02  0.000000E+00 -0.253878E+02   -165.793      0.000    -67.010     132
   133.00000 -0.268930E+02  0.000000E+00 -0.268930E+02  0.000000E+00 -0.255047E+02   -267.597      0.000    -67.964     133
   134.00000 -0.269530E+02  0.000000E+00 -0.269530E+02  0.000000E+00 -0.256190E+02   -126.892      0.000    -68.951     134
   135.00000 -0.268050E+02  0.000000E+00 -0.268050E+02  0.000000E+00 -0.257279E+02   -242.312      0.000    -69.986     135
   136.00000 -0.267020E+02  0.000000E+00 -0.267020E+02  0.000000E+00 -0.258311E+02   -269.246      0.000    -71.053     136
   137.00000 -0.266510E+02  0.000000E+00 -0.266510E+02  0.000000E+00 -0.259289E+02   -223.447      0.000    -72.134     137
   138.00000 -0.269220E+02  0.000000E+00 -0.269220E+02  0.000000E+00 -0.260225E+02    -88.959      0.000    -73.218     138
   139.00000 -0.268040E+02  0.000000E+00 -0.268040E+02  0.000000E+00 -0.261105E+02   -161.939      0.000    -74.294     139
   140.00000 -0.266610E+02  0.000000E+00 -0.266610E+02  0.000000E+00 -0.261926E+02   -258.813      0.000    -75.345     140
   141.00000 -0.265780E+02  0.000000E+00 -0.265780E+02  0.000000E+00 -0.262708E+02   -255.932      0.000    -76.532     141
   142.00000 -0.265170E+02  0.000000E+00 -0.265170E+02  0.000000E+00 -0.263460E+02   -249.965      0.000    -77.716     142
   143.00000 -0.267890E+02  0.000000E+00 -0.267890E+02  0.000000E+00 -0.264199E+02    -91.312      0.000    -78.883     143
   144.00000 -0.269250E+02  0.000000E+00 -0.269250E+02  0.000000E+00 -0.264914E+02    -92.314      0.000    -80.032     144
   145.00000 -0.283640E+02  0.000000E+00 -0.283640E+02  0.000000E+00 -0.265606E+02    -32.614      0.000    -81.163     145
   146.00000 -0.291660E+02  0.000000E+00 -0.291660E+02  0.000000E+00 -0.266275E+02    -36.533      0.000    -82.275     146
   147.00000 -0.291870E+02  0.000000E+00 -0.291870E+02  0.000000E+00 -0.266922E+02    -58.307      0.000    -83.363     147
   148.00000 -0.297140E+02  0.000000E+00 -0.297140E+02  0.000000E+00 -0.267548E+02    -43.654      0.000    -84.353     148
   149.00000 -0.296020E+02  0.000000E+00 -0.296020E+02  0.000000E+00 -0.268157E+02    -69.561      0.000    -84.898     149
   150.00000 -0.295430E+02  0.000000E+00 -0.295430E+02  0.000000E+00 -0.268769E+02    -76.865      0.000    -84.416     150
   151.00000 -0.295060E+02  0.000000E+00 -0.295060E+02  0.000000E+00 -0.269405E+02    -81.876      0.000    -82.966     151
